Month,Month Number,Month Name,Year,Branch Name,Branch,Material Category,Material Type,Materials,Checkouts,Renewals,Transactions
01/01/2018 12:00:00 AM,1,Jan,2018,Red Mountain Branch,RM,InterLibrary Loan,Physical,ILL,107,2,109
01/01/2018 12:00:00 AM,1,Jan,2018,Red Mountain Branch,RM,Magazine,Physical,Periodical,326,167,493
01/01/2018 12:00:00 AM,1,Jan,2018,Red Mountain Branch,RM,Stuffbrary,Physical,Culture Pass,241,4,245
01/01/2018 12:00:00 AM,1,Jan,2018,Red Mountain Branch,RM,Stuffbrary,Physical,Equipment,3,7,10
01/01/2018 12:00:00 AM,1,Jan,2018,Red Mountain Branch,RM,Stuffbrary,Physical,Stuffbrary,2,0,2
01/01/2018 12:00:00 AM,1,Jan,2018,Red Mountain Branch,RM,Stuffbrary,Physical,Stuffbrary (Quick-circ),67,0,67
01/01/2019 12:00:00 AM,1,Jan,2019,Dobson Ranch Branch,DR,Audio CD,Physical,Audio CD,334,295,629
01/01/2019 12:00:00 AM,1,Jan,2019,Dobson Ranch Branch,DR,Audio CD,Physical,Audio Kit,20,15,35
01/01/2019 12:00:00 AM,1,Jan,2019,Dobson Ranch Branch,DR,Audio CD,Physical,Playaway,133,149,282
01/01/2019 12:00:00 AM,1,Jan,2019,Dobson Ranch Branch,DR,Book,Physical,Board Book,224,150,374
01/01/2019 12:00:00 AM,1,Jan,2019,Dobson Ranch Branch,DR,Book,Physical,Book,9396,8251,17647
01/01/2019 12:00:00 AM,1,Jan,2019,Dobson Ranch Branch,DR,Book,Physical,Bookclub kit,2,1,3
01/01/2019 12:00:00 AM,1,Jan,2019,Dobson Ranch Branch,DR,Book,Physical,Express Check Out,81,0,81
01/01/2019 12:00:00 AM,1,Jan,2019,Dobson Ranch Branch,DR,DVD,Physical,DVD,3844,2321,6165
01/01/2019 12:00:00 AM,1,Jan,2019,Dobson Ranch Branch,DR,InterLibrary Loan,Physical,ILL,14,0,14
01/01/2019 12:00:00 AM,1,Jan,2019,Dobson Ranch Branch,DR,Magazine,Physical,Periodical,32,29,61
01/01/2019 12:00:00 AM,1,Jan,2019,Dobson Ranch Branch,DR,Stuffbrary,Physical,Culture Pass,159,0,159
01/01/2019 12:00:00 AM,1,Jan,2019,Dobson Ranch Branch,DR,Stuffbrary,Physical,Equipment,3,0,3
02/01/2022 12:00:00 AM,2,Feb,2022,Main Library,MN,Book,Physical,Braille,0,2,2
01/01/2019 12:00:00 AM,1,Jan,2019,Dobson Ranch Branch,DR,Stuffbrary,Physical,Stuffbrary,3,0,3
01/01/2019 12:00:00 AM,1,Jan,2019,Mesa Express Library,MEL,Audio CD,Physical,Audio CD,114,113,227
01/01/2019 12:00:00 AM,1,Jan,2019,Mesa Express Library,MEL,Audio CD,Physical,Audio Kit,0,5,5
01/01/2019 12:00:00 AM,1,Jan,2019,Mesa Express Library,MEL,Audio CD,Physical,Playaway,17,38,55
01/01/2019 12:00:00 AM,1,Jan,2019,Mesa Express Library,MEL,Book,Physical,Board Book,0,20,20
01/01/2019 12:00:00 AM,1,Jan,2019,Mesa Express Library,MEL,Book,Physical,Book,2039,1562,3601
01/01/2019 12:00:00 AM,1,Jan,2019,Mesa Express Library,MEL,Book,Physical,Bookclub kit,3,0,3
01/01/2019 12:00:00 AM,1,Jan,2019,Mesa Express Library,MEL,Book,Physical,Express Check Out,91,0,91
01/01/2019 12:00:00 AM,1,Jan,2019,Mesa Express Library,MEL,DVD,Physical,DVD,427,306,733
01/01/2019 12:00:00 AM,1,Jan,2019,Mesa Express Library,MEL,InterLibrary Loan,Physical,ILL,17,0,17
01/01/2019 12:00:00 AM,1,Jan,2019,Mesa Express Library,MEL,Stuffbrary,Physical,Culture Pass,111,1,112
01/01/2019 12:00:00 AM,1,Jan,2019,Mesa Express Library,MEL,Stuffbrary,Physical,Equipment,1,0,1
01/01/2019 12:00:00 AM,1,Jan,2019,Main Library,MN,Audio CD,Physical,Audio CD,794,688,1482
01/01/2019 12:00:00 AM,1,Jan,2019,Main Library,MN,Audio CD,Physical,Audio Kit,99,71,170
01/01/2019 12:00:00 AM,1,Jan,2019,Main Library,MN,Audio CD,Physical,Playaway,183,162,345
01/01/2019 12:00:00 AM,1,Jan,2019,Main Library,MN,Book,Physical,Board Book,535,538,1073
01/01/2019 12:00:00 AM,1,Jan,2019,Main Library,MN,Book,Physical,Book,20851,18768,39619
01/01/2019 12:00:00 AM,1,Jan,2019,Main Library,MN,Book,Physical,Book Bucket,1,2,3
01/01/2019 12:00:00 AM,1,Jan,2019,Main Library,MN,Book,Physical,Bookclub kit,22,1,23
01/01/2019 12:00:00 AM,1,Jan,2019,Main Library,MN,Book,Physical,Express Check Out,150,1,151
01/01/2019 12:00:00 AM,1,Jan,2019,Main Library,MN,InterLibrary Loan,Physical,ILL,74,0,74
01/01/2019 12:00:00 AM,1,Jan,2019,Main Library,MN,Magazine,Physical,Periodical,158,98,256
01/01/2019 12:00:00 AM,1,Jan,2019,Main Library,MN,Stuffbrary,Physical,Culture Pass,230,9,239
01/01/2019 12:00:00 AM,1,Jan,2019,Main Library,MN,Stuffbrary,Physical,Equipment,7,2,9
01/01/2019 12:00:00 AM,1,Jan,2019,Main Library,MN,Stuffbrary,Physical,Stuffbrary,4,0,4
01/01/2019 12:00:00 AM,1,Jan,2019,Main Library,MN,Stuffbrary,Physical,Stuffbrary (Quick-circ),246,0,246
01/01/2019 12:00:00 AM,1,Jan,2019,Red Mountain Branch,RM,Audio CD,Physical,Audio CD,1629,1380,3009
01/01/2019 12:00:00 AM,1,Jan,2019,Red Mountain Branch,RM,Audio CD,Physical,Audio Kit,81,55,136
01/01/2019 12:00:00 AM,1,Jan,2019,Red Mountain Branch,RM,Audio CD,Physical,Audio Tape,1,2,3
01/01/2019 12:00:00 AM,1,Jan,2019,Red Mountain Branch,RM,Audio CD,Physical,Playaway,366,297,663
01/01/2019 12:00:00 AM,1,Jan,2019,Red Mountain Branch,RM,Book,Physical,Board Book,570,467,1037
01/01/2019 12:00:00 AM,1,Jan,2019,Red Mountain Branch,RM,Book,Physical,Book,33701,25097,58798
01/01/2019 12:00:00 AM,1,Jan,2019,Red Mountain Branch,RM,Book,Physical,Bookclub kit,20,1,21
01/01/2019 12:00:00 AM,1,Jan,2019,Red Mountain Branch,RM,Book,Physical,Express Check Out,250,0,250
01/01/2019 12:00:00 AM,1,Jan,2019,Red Mountain Branch,RM,DVD,Physical,DVD,11136,6580,17716
01/01/2019 12:00:00 AM,1,Jan,2019,Red Mountain Branch,RM,InterLibrary Loan,Physical,ILL,90,0,90
01/01/2019 12:00:00 AM,1,Jan,2019,Red Mountain Branch,RM,Magazine,Physical,Periodical,359,241,600
01/01/2019 12:00:00 AM,1,Jan,2019,Red Mountain Branch,RM,Stuffbrary,Physical,Culture Pass,249,2,251
01/01/2019 12:00:00 AM,1,Jan,2019,Red Mountain Branch,RM,Stuffbrary,Physical,Equipment,7,2,9
01/01/2019 12:00:00 AM,1,Jan,2019,Red Mountain Branch,RM,Stuffbrary,Physical,Stuffbrary (Quick-circ),96,0,96
01/01/2020 12:00:00 AM,1,Jan,2020,Dobson Ranch Branch,DR,Audio CD,Physical,Audio CD,258,272,530
01/01/2020 12:00:00 AM,1,Jan,2020,Dobson Ranch Branch,DR,Audio CD,Physical,Audio Kit,22,11,33
01/01/2020 12:00:00 AM,1,Jan,2020,Dobson Ranch Branch,DR,Audio CD,Physical,Playaway,71,73,144
01/01/2020 12:00:00 AM,1,Jan,2020,Dobson Ranch Branch,DR,Blu-ray,Physical,Blu-ray,259,140,399
01/01/2020 12:00:00 AM,1,Jan,2020,Dobson Ranch Branch,DR,Book,Physical,Board Book,174,168,342
01/01/2020 12:00:00 AM,1,Jan,2020,Dobson Ranch Branch,DR,Book,Physical,Book,8681,7774,16455
01/01/2020 12:00:00 AM,1,Jan,2020,Dobson Ranch Branch,DR,Book,Physical,Bookclub kit,3,0,3
01/01/2020 12:00:00 AM,1,Jan,2020,Dobson Ranch Branch,DR,Book,Physical,Braille,1,0,1
01/01/2020 12:00:00 AM,1,Jan,2020,Dobson Ranch Branch,DR,Book,Physical,Express Check Out,81,1,82
01/01/2020 12:00:00 AM,1,Jan,2020,Dobson Ranch Branch,DR,DVD,Physical,DVD,3025,2026,5051
01/01/2020 12:00:00 AM,1,Jan,2020,Dobson Ranch Branch,DR,InterLibrary Loan,Physical,ILL,28,0,28
01/01/2020 12:00:00 AM,1,Jan,2020,Dobson Ranch Branch,DR,Magazine,Physical,Periodical,64,39,103
01/01/2020 12:00:00 AM,1,Jan,2020,Dobson Ranch Branch,DR,Stuffbrary,Physical,Culture Pass,143,0,143
01/01/2020 12:00:00 AM,1,Jan,2020,Dobson Ranch Branch,DR,Stuffbrary,Physical,Stuffbrary,1,0,1
01/01/2020 12:00:00 AM,1,Jan,2020,Main Library,MN,Audio CD,Physical,Audio CD,624,535,1159
01/01/2020 12:00:00 AM,1,Jan,2020,Main Library,MN,Audio CD,Physical,Audio Kit,104,83,187
01/01/2020 12:00:00 AM,1,Jan,2020,Main Library,MN,Audio CD,Physical,Audio Tape,1,0,1
01/01/2020 12:00:00 AM,1,Jan,2020,Main Library,MN,Audio CD,Physical,Playaway,138,136,274
01/01/2020 12:00:00 AM,1,Jan,2020,Main Library,MN,Blu-ray,Physical,Blu-ray,498,252,750
01/01/2020 12:00:00 AM,1,Jan,2020,Main Library,MN,Book,Physical,Board Book,687,531,1218
01/01/2020 12:00:00 AM,1,Jan,2020,Main Library,MN,Book,Physical,Book Bucket,2,1,3
01/01/2020 12:00:00 AM,1,Jan,2020,Main Library,MN,Book,Physical,Bookclub kit,19,2,21
01/01/2020 12:00:00 AM,1,Jan,2020,Main Library,MN,Book,Physical,Express Check Out,389,10,399
01/01/2020 12:00:00 AM,1,Jan,2020,Main Library,MN,DVD,Physical,DVD,8398,5310,13708
01/01/2020 12:00:00 AM,1,Jan,2020,Main Library,MN,InterLibrary Loan,Physical,ILL,76,4,80
01/01/2020 12:00:00 AM,1,Jan,2020,Main Library,MN,Magazine,Physical,Periodical,175,105,280
01/01/2020 12:00:00 AM,1,Jan,2020,Main Library,MN,Stuffbrary,Physical,Culture Pass,203,2,205
01/01/2020 12:00:00 AM,1,Jan,2020,Main Library,MN,Stuffbrary,Physical,Equipment,5,1,6
01/01/2020 12:00:00 AM,1,Jan,2020,Main Library,MN,Stuffbrary,Physical,Stuffbrary,8,0,8
01/01/2020 12:00:00 AM,1,Jan,2020,Main Library,MN,Stuffbrary,Physical,Stuffbrary (Quick-circ),146,0,146
01/01/2020 12:00:00 AM,1,Jan,2020,Red Mountain Branch,RM,Audio CD,Physical,Audio CD,1756,1120,2876
01/01/2020 12:00:00 AM,1,Jan,2020,Red Mountain Branch,RM,Audio CD,Physical,Audio Kit,94,63,157
01/01/2020 12:00:00 AM,1,Jan,2020,Red Mountain Branch,RM,Audio CD,Physical,Playaway,347,296,643
01/01/2020 12:00:00 AM,1,Jan,2020,Red Mountain Branch,RM,Book,Physical,Book,34648,25191,59839
01/01/2020 12:00:00 AM,1,Jan,2020,Red Mountain Branch,RM,Book,Physical,Bookclub kit,21,2,23
01/01/2020 12:00:00 AM,1,Jan,2020,Red Mountain Branch,RM,Book,Physical,Braille,0,2,2
01/01/2020 12:00:00 AM,1,Jan,2020,Red Mountain Branch,RM,Book,Physical,Express Check Out,336,2,338
01/01/2020 12:00:00 AM,1,Jan,2020,Red Mountain Branch,RM,DVD,Physical,DVD,10034,6178,16212
01/01/2020 12:00:00 AM,1,Jan,2020,Red Mountain Branch,RM,InterLibrary Loan,Physical,ILL,87,0,87
01/01/2020 12:00:00 AM,1,Jan,2020,Red Mountain Branch,RM,Magazine,Physical,Periodical,301,223,524
01/01/2020 12:00:00 AM,1,Jan,2020,Red Mountain Branch,RM,Stuffbrary,Physical,Culture Pass,249,0,249
01/01/2020 12:00:00 AM,1,Jan,2020,Red Mountain Branch,RM,Stuffbrary,Physical,Equipment,8,3,11
01/01/2020 12:00:00 AM,1,Jan,2020,Red Mountain Branch,RM,Stuffbrary,Physical,Stuffbrary,4,0,4
01/01/2020 12:00:00 AM,1,Jan,2020,Red Mountain Branch,RM,Stuffbrary,Physical,Stuffbrary (Quick-circ),141,0,141
01/01/2021 12:00:00 AM,1,Jan,2021,Dobson Ranch Branch,DR,,Physical,TakeMake (Quick-circ),225,0,225
01/01/2021 12:00:00 AM,1,Jan,2021,Dobson Ranch Branch,DR,Audio CD,Physical,Audio CD,51,71,122
01/01/2021 12:00:00 AM,1,Jan,2021,Dobson Ranch Branch,DR,Audio CD,Physical,Audio Kit,1,3,4
01/01/2020 12:00:00 AM,1,Jan,2020,Red Mountain Branch,RM,Blu-ray,Physical,Blu-ray,458,282,740
01/01/2021 12:00:00 AM,1,Jan,2021,Dobson Ranch Branch,DR,Audio CD,Physical,Audio Tape,0,1,1
01/01/2021 12:00:00 AM,1,Jan,2021,Dobson Ranch Branch,DR,Audio CD,Physical,Playaway,27,33,60
01/01/2021 12:00:00 AM,1,Jan,2021,Dobson Ranch Branch,DR,Blu-ray,Physical,Blu-ray,11,34,45
01/01/2021 12:00:00 AM,1,Jan,2021,Dobson Ranch Branch,DR,Book,Physical,Board Book,34,69,103
01/01/2021 12:00:00 AM,1,Jan,2021,Dobson Ranch Branch,DR,Book,Physical,Book,2115,3677,5792
01/01/2021 12:00:00 AM,1,Jan,2021,Dobson Ranch Branch,DR,DVD,Physical,DVD,217,489,706
01/01/2021 12:00:00 AM,1,Jan,2021,Main Library,MN,,Physical,TakeMake (Quick-circ),88,0,88
01/01/2021 12:00:00 AM,1,Jan,2021,Main Library,MN,Audio CD,Physical,Audio CD,160,174,334
01/01/2021 12:00:00 AM,1,Jan,2021,Main Library,MN,Audio CD,Physical,Audio Kit,3,7,10
01/01/2021 12:00:00 AM,1,Jan,2021,Main Library,MN,Audio CD,Physical,Playaway,45,18,63
01/01/2021 12:00:00 AM,1,Jan,2021,Main Library,MN,Blu-ray,Physical,Blu-ray,193,293,486
01/01/2021 12:00:00 AM,1,Jan,2021,Main Library,MN,Book,Physical,Board Book,260,305,565
01/01/2021 12:00:00 AM,1,Jan,2021,Main Library,MN,Book,Physical,Book,7236,9515,16751
01/01/2021 12:00:00 AM,1,Jan,2021,Main Library,MN,Book,Physical,Book Bucket,2,1,3
01/01/2021 12:00:00 AM,1,Jan,2021,Main Library,MN,Book,Physical,Bookclub kit,10,0,10
01/01/2021 12:00:00 AM,1,Jan,2021,Main Library,MN,Book,Physical,Express Check Out,1,0,1
01/01/2021 12:00:00 AM,1,Jan,2021,Main Library,MN,DVD,Physical,DVD,1072,1319,2391
01/01/2021 12:00:00 AM,1,Jan,2021,Main Library,MN,Magazine,Physical,Periodical,10,9,19
01/01/2021 12:00:00 AM,1,Jan,2021,Main Library,MN,Stuffbrary,Physical,Equipment,2,2,4
01/01/2021 12:00:00 AM,1,Jan,2021,Red Mountain Branch,RM,,Physical,TakeMake (Quick-circ),206,0,206
01/01/2021 12:00:00 AM,1,Jan,2021,Red Mountain Branch,RM,Audio CD,Physical,Audio CD,395,313,708
01/01/2021 12:00:00 AM,1,Jan,2021,Red Mountain Branch,RM,Audio CD,Physical,Audio Kit,28,19,47
01/01/2021 12:00:00 AM,1,Jan,2021,Red Mountain Branch,RM,Audio CD,Physical,Playaway,93,101,194
01/01/2021 12:00:00 AM,1,Jan,2021,Red Mountain Branch,RM,Blu-ray,Physical,Blu-ray,132,80,212
01/01/2021 12:00:00 AM,1,Jan,2021,Red Mountain Branch,RM,Book,Physical,Board Book,219,265,484
01/01/2021 12:00:00 AM,1,Jan,2021,Red Mountain Branch,RM,Book,Physical,Book,12784,10471,23255
01/01/2021 12:00:00 AM,1,Jan,2021,Red Mountain Branch,RM,Book,Physical,Bookclub kit,10,1,11
01/01/2021 12:00:00 AM,1,Jan,2021,Red Mountain Branch,RM,Book,Physical,Express Check Out,1,0,1
01/01/2021 12:00:00 AM,1,Jan,2021,Red Mountain Branch,RM,DVD,Physical,DVD,1766,1335,3101
01/01/2021 12:00:00 AM,1,Jan,2021,Red Mountain Branch,RM,Magazine,Physical,Periodical,108,58,166
01/01/2021 12:00:00 AM,1,Jan,2021,Red Mountain Branch,RM,Stuffbrary,Physical,Equipment,1,2,3
01/01/2021 12:00:00 AM,1,Jan,2021,Red Mountain Branch,RM,Stuffbrary,Physical,Stuffbrary,2,0,2
01/01/2021 12:00:00 AM,1,Jan,2021,Red Mountain Branch,RM,Stuffbrary,Physical,Stuffbrary (Quick-circ),10,0,10
01/01/2022 12:00:00 AM,1,Jan,2022,Dobson Ranch Branch,DR,,Physical,BINAX (Quick-circ),9,0,9
01/01/2022 12:00:00 AM,1,Jan,2022,Dobson Ranch Branch,DR,,Physical,TakeMake (Quick-circ),482,0,482
01/01/2022 12:00:00 AM,1,Jan,2022,Dobson Ranch Branch,DR,Audio CD,Physical,Audio CD,92,81,173
01/01/2022 12:00:00 AM,1,Jan,2022,Dobson Ranch Branch,DR,Audio CD,Physical,Audio Kit,54,15,69
01/01/2022 12:00:00 AM,1,Jan,2022,Dobson Ranch Branch,DR,Audio CD,Physical,Playaway,25,24,49
01/01/2022 12:00:00 AM,1,Jan,2022,Dobson Ranch Branch,DR,Blu-ray,Physical,Blu-ray,270,235,505
01/01/2022 12:00:00 AM,1,Jan,2022,Dobson Ranch Branch,DR,Book,Physical,Board Book,300,460,760
01/01/2022 12:00:00 AM,1,Jan,2022,Dobson Ranch Branch,DR,Book,Physical,Book,7665,8432,16097
01/01/2022 12:00:00 AM,1,Jan,2022,Dobson Ranch Branch,DR,Book,Physical,Bookclub kit,2,0,2
01/01/2022 12:00:00 AM,1,Jan,2022,Dobson Ranch Branch,DR,Book,Physical,Braille,1,0,1
01/01/2022 12:00:00 AM,1,Jan,2022,Dobson Ranch Branch,DR,DVD,Physical,DVD,1209,1180,2389
01/01/2022 12:00:00 AM,1,Jan,2022,Dobson Ranch Branch,DR,InterLibrary Loan,Physical,ILL,21,2,23
01/01/2022 12:00:00 AM,1,Jan,2022,Dobson Ranch Branch,DR,Magazine,Physical,Periodical,18,23,41
01/01/2022 12:00:00 AM,1,Jan,2022,Dobson Ranch Branch,DR,Stuffbrary,Physical,Culture Pass,253,0,253
01/01/2022 12:00:00 AM,1,Jan,2022,Dobson Ranch Branch,DR,Stuffbrary,Physical,Equipment,0,2,2
01/01/2022 12:00:00 AM,1,Jan,2022,Dobson Ranch Branch,DR,Stuffbrary,Physical,Stuffbrary,2,0,2
01/01/2022 12:00:00 AM,1,Jan,2022,Main Library,MN,,Physical,BINAX (Quick-circ),793,0,793
01/01/2022 12:00:00 AM,1,Jan,2022,Main Library,MN,,Physical,TakeMake (Quick-circ),40,0,40
01/01/2022 12:00:00 AM,1,Jan,2022,Main Library,MN,Audio CD,Physical,Audio CD,218,199,417
01/01/2022 12:00:00 AM,1,Jan,2022,Main Library,MN,Audio CD,Physical,Audio Kit,72,23,95
01/01/2022 12:00:00 AM,1,Jan,2022,Main Library,MN,Audio CD,Physical,Playaway,82,64,146
01/01/2022 12:00:00 AM,1,Jan,2022,Main Library,MN,Blu-ray,Physical,Blu-ray,377,293,670
01/01/2022 12:00:00 AM,1,Jan,2022,Main Library,MN,Book,Physical,Board Book,639,332,971
01/01/2022 12:00:00 AM,1,Jan,2022,Main Library,MN,Book,Physical,Book,13445,10931,24376
01/01/2022 12:00:00 AM,1,Jan,2022,Main Library,MN,Book,Physical,Book Bucket,1,1,2
01/01/2022 12:00:00 AM,1,Jan,2022,Main Library,MN,Book,Physical,Bookclub kit,11,0,11
01/01/2022 12:00:00 AM,1,Jan,2022,Main Library,MN,Book,Physical,Braille,2,2,4
01/01/2022 12:00:00 AM,1,Jan,2022,Main Library,MN,DVD,Physical,DVD,3053,2888,5941
01/01/2022 12:00:00 AM,1,Jan,2022,Main Library,MN,InterLibrary Loan,Physical,ILL,36,0,36
01/01/2022 12:00:00 AM,1,Jan,2022,Main Library,MN,Magazine,Physical,Periodical,119,55,174
01/01/2022 12:00:00 AM,1,Jan,2022,Main Library,MN,Stuffbrary,Physical,Culture Pass,121,1,122
01/01/2022 12:00:00 AM,1,Jan,2022,Main Library,MN,Stuffbrary,Physical,Equipment,5,0,5
01/01/2022 12:00:00 AM,1,Jan,2022,Main Library,MN,Stuffbrary,Physical,Stuffbrary,8,0,8
01/01/2022 12:00:00 AM,1,Jan,2022,Main Library,MN,Stuffbrary,Physical,Stuffbrary (Quick-circ),140,0,140
01/01/2022 12:00:00 AM,1,Jan,2022,Red Mountain Branch,RM,,Physical,BINAX (Quick-circ),433,0,433
01/01/2022 12:00:00 AM,1,Jan,2022,Red Mountain Branch,RM,,Physical,TakeMake (Quick-circ),86,0,86
01/01/2022 12:00:00 AM,1,Jan,2022,Red Mountain Branch,RM,Audio CD,Physical,Audio CD,586,620,1206
01/01/2022 12:00:00 AM,1,Jan,2022,Red Mountain Branch,RM,Audio CD,Physical,Audio Kit,87,87,174
01/01/2022 12:00:00 AM,1,Jan,2022,Red Mountain Branch,RM,Audio CD,Physical,Playaway,234,195,429
01/01/2022 12:00:00 AM,1,Jan,2022,Red Mountain Branch,RM,Blu-ray,Physical,Blu-ray,340,357,697
01/01/2022 12:00:00 AM,1,Jan,2022,Red Mountain Branch,RM,Book,Physical,Board Book,706,879,1585
01/01/2022 12:00:00 AM,1,Jan,2022,Red Mountain Branch,RM,Book,Physical,Book,26679,25356,52035
01/01/2022 12:00:00 AM,1,Jan,2022,Red Mountain Branch,RM,Book,Physical,Bookclub kit,16,0,16
01/01/2022 12:00:00 AM,1,Jan,2022,Red Mountain Branch,RM,Book,Physical,Express Check Out,2,0,2
01/01/2022 12:00:00 AM,1,Jan,2022,Red Mountain Branch,RM,InterLibrary Loan,Physical,ILL,34,0,34
